,precision,recall,f1-score,support
0,0.7142857142857143,0.5555555555555556,0.6250000000000001,9.0
1,0.0,0.0,0.0,2.0
2,0.6,0.3333333333333333,0.42857142857142855,9.0
3,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
4,0.0,0.0,0.0,4.0
5,0.2857142857142857,0.5,0.36363636363636365,4.0
micro avg,0.46153846153846156,0.46153846153846156,0.46153846153846156,39.0
macro avg,0.3878787878787879,0.35269360269360267,0.35741341991341996,39.0
weighted avg,0.5377289377289377,0.46153846153846156,0.48555611055611053,39.0
samples avg,0.46153846153846156,0.46153846153846156,0.46153846153846156,39.0
